,Geo ID,State,Employment,"Employment per 1,000 Jobs",Annual Median Wage,Annual 10th Percentile Wage,Annual 25th Percentile Wage,Annual 75th Percentile Wage,Annual 90th Percentile Wage,Location Quotient,Total Cost Index,Grocery Cost,Housing Cost,Utilities Cost,Transportation Cost,Miscellaneous Cost,Total w/ Degree,"Computers, Mathematics and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,All Other
29,0400000US34,New Jersey,        1770,       0.469,      113050,       68710,       88280,      139620,      171830,        1.09,125.1,109.5,163.1,101.6,111.1,101.7,2551765,152176,138208,94859,108264,113738,101058,101822,116345
30,0400000US35,New Mexico,           -,           -,       73910,       35140,       54990,       97010,      109380,           -,87.5,100.9,77.7,87.9,91.6,100.1,394598,13901,31403,17509,18009,19901,19950,10548,24762
31,0400000US36,New York,        3950,       0.454,      118310,       56590,       85020,      158390,      197170,        1.06,139.1,114.8,204.4,108.7,116.6,104.8,5166218,240853,261573,148056,292677,282432,339710,222660,249560
32,0400000US37,North Carolina,        2340,       0.546,      109930,       67820,       85210,      143350,      176230,        1.27,94.9,96.6,83.1,97.9,93.4,110.6,2321185,107169,152899,74546,90672,110213,82854,90190,160513
48,0400000US38,North Dakota,,,,,,,,,98.8,108.1,90.3,93.6,104.3,111.7,153397,5289,15838,2466,3027,5288,2731,3981,12103
33,0400000US39,Ohio,        2390,       0.466,       80680,       48730,       62970,      101950,      128710,        1.09,90.8,98.7,73.6,91.8,96.7,97.6,2356585,96692,139443,72732,81047,98607,91199,94016,133277
34,0400000US40,Oklahoma,         870,       0.559,       64880,       42110,       53190,       86940,      108660,        1.30,87.0,95.4,71.9,94.1,89.5,93.2,686509,20349,52325,21219,18459,27390,20795,23205,46370
35,0400000US41,Oregon,         740,       0.408,       82950,       48310,       62280,      108830,      131350,        0.95,134.2,110.3,181.8,88.0,136.7,113.2,1032316,38061,94977,46825,57307,60502,56427,42320,47872
36,0400000US42,Pennsylvania,        1940,       0.352,       74510,       42910,       54270,      100990,      130270,        0.82,101.7,106.9,100.8,106.0,109.5,91.9,2917402,129379,184663,87264,119737,132188,111009,121982,174436
37,0400000US44,Rhode Island,         250,       0.569,       88650,       40520,       70070,      109730,      134240,        1.32,119.4,106.2,129.4,123.5,124.0,109.3,260275,10366,16536,6447,15617,13186,12447,7774,18743
38,0400000US45,South Carolina,         110,       0.055,       57150,       38130,       40570,      101040,      137710,        0.13,95.9,101.9,85.1,107.6,88.0,94.2,1054559,36441,61026,31180,35950,50908,32947,31913,65673
39,0400000US46,South Dakota,          50,       0.131,       76440,       44920,       58230,      101600,      119500,        0.30,99.8,107.0,109.8,91.8,89.8,103.0,174784,5449,17529,3585,3781,6274,4200,4957,11628
40,0400000US47,Tennessee,        1280,       0.440,       78750,       52550,       61410,      108640,      135860,        1.03,88.7,93.3,80.2,93.4,89.7,88.5,1348224,48757,91970,43489,38357,62278,55149,56287,92178
41,0400000US48,Texas,        4310,       0.356,      101410,       64380,       83390,      125220,      153660,        0.83,91.5,88.9,85.3,102.3,91.4,96.2,5776533,286344,352620,192914,176640,231882,170620,225185,357661
42,0400000US49,Utah,         400,       0.268,       75980,       39910,       52980,      100110,      131020,        0.62,98.4,98.5,93.6,89.4,108.6,96.0,664661,34002,38255,16903,32422,23098,24721,29797,55252
49,0400000US50,Vermont,,,,,,,,,114.5,111.3,126.7,120.2,119.9,101.2,172272,5542,14765,4752,13239,11509,11256,3919,10194
43,0400000US51,Virginia,        2450,       0.661,       92410,       45650,       68500,      126640,      170760,        1.54,100.7,96.1,108.0,99.2,88.1,97.2,2325070,154800,137756,72287,118487,134840,81377,78742,143935
44,0400000US53,Washington,        2610,       0.816,      117260,       61120,       85670,      147150,      176650,        1.90,110.7,107.8,117.8,88.7,121.7,118.9,1955632,127606,145630,65959,97894,96852,88818,75607,104763
45,0400000US54,West Virginia,         140,       0.220,       63030,       45380,       55540,       91090,      123740,        0.51,91.1,92.9,79.6,89.0,93.5,89.1,269706,8298,19925,8941,7050,11904,7509,7046,17412
46,0400000US55,Wisconsin,         760,       0.280,       81810,       42380,       64450,      100020,      124650,        0.65,97.3,100.7,91.4,98.9,98.1,115.2,1258379,46206,106164,34503,42283,47611,45318,52692,79211
50,0400000US56,Wyoming,,,,,,,,,89.3,98.7,72.3,87.3,99.3,94.9,113557,2944,12135,6186,3115,4323,3850,2382,7283
