,State,Region,Total w/ Degree,"Computers, Mathematics and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,All Other
31,New Mexico,West,394598.0,0.08911868601065501,0.20132322112025028,0.11224941179487508,0.11545488931486124,0.12758441625048883,0.1278985530474475,0.06762275376162787,0.15874806869979421
32,New York,Northeast,5166218.0,0.11820884300088196,0.12837806334266003,0.07266477253485977,0.14364367287502805,0.13861550384020582,0.1667271159413817,0.10927985527511128,0.12248217318987142
33,North Carolina,South,2321185.0,0.1233165641799838,0.1759368786361293,0.08577813167390824,0.10433389793062818,0.1268192153324987,0.09533792989174461,0.10377927314235216,0.18469810921275498
34,North Dakota,Midwest,153397.0,0.10427222364607772,0.31224493819371885,0.04861699820594208,0.05967706957396053,0.10425250872385308,0.05384145259546951,0.07848510537625929,0.23860970368471895
35,Ohio,Midwest,2356585.0,0.11981467460871138,0.17278903809480145,0.09012494222521818,0.10042836980321258,0.12218762275204985,0.11300809280643559,0.11649874289509586,0.16514851681447512
36,Oklahoma,South,686509.0,0.0884308510638298,0.2273892713113614,0.09221161869002921,0.0802174593241552,0.11902899457655403,0.09036903768599638,0.10084219858156028,0.2015105687665137
37,Oregon,West,1032316.0,0.0856668264718394,0.21377205480192035,0.10539263680785792,0.12898528216866872,0.13617651494178365,0.12700459833757605,0.09525288605891184,0.10774920041144205
38,Pennsylvania,Northeast,2917402.0,0.12197994075375852,0.17410230253295594,0.0822734566655793,0.11288935736118523,0.12462829677426654,0.104660503197072,0.11500596799345313,0.16446017472172933
39,Rhode Island,Northeast,260275.0,0.10251592230705328,0.16353494995846354,0.06375845563511215,0.15444637841686776,0.13040468372957792,0.12309624589580284,0.07688199691443491,0.1853613671426876
40,South Carolina,South,1054559.0,0.10530924349348915,0.17635635392644738,0.0901057109334813,0.10389032418404916,0.14711679064149025,0.09521208653384888,0.09222397540154549,0.1897855148856484
41,South Dakota,Midwest,174784.0,0.09492535233350173,0.3053673152971099,0.06245318188944829,0.06586763757991743,0.10929742347960908,0.07316690765291013,0.08635437172273226,0.20256781004477117
42,Tennessee,South,1348224.0,0.0998167729520027,0.18828370507610576,0.08903196748999416,0.07852558525175805,0.1274973641919073,0.11290266446930691,0.11523241173881445,0.18870952883011066
43,Texas,South,5776533.0,0.14361245941301973,0.17685240633021476,0.09675374373202612,0.08859171077695291,0.11629768499989468,0.08557245070631628,0.11293888355586584,0.17938066048570966
44,Utah,West,664661.0,0.13362939673806248,0.150343878954608,0.06642955393987031,0.1274199253291413,0.09077618392611515,0.0971546472784437,0.11710355669090194,0.21714285714285714
45,Vermont,Northeast,172272.0,0.07372033627753538,0.1964057677982335,0.06321166329679685,0.17610673619240183,0.15309407257635416,0.1497286367989784,0.05213099925508141,0.13560178780461848
46,Virginia,South,2325070.0,0.16785509811065424,0.14937368795433648,0.07838334287548361,0.12847963184649283,0.14621176633876368,0.08823995038081854,0.08538272697305643,0.1560737955203942
47,Washington,West,1955632.0,0.15888605690991112,0.18132827976576615,0.08212752870335899,0.12189075478534582,0.12059332934061652,0.11058995503835622,0.0941405428019658,0.13044355265467938
48,West Virginia,South,269706.0,0.09420446159959131,0.22620196401203382,0.10150422886984163,0.08003632854629052,0.13514219220071522,0.08524720440483624,0.07999091786342737,0.19767270250326388
49,Wisconsin,Midwest,1258379.0,0.1017780205644202,0.23384759068521635,0.07599980616227742,0.09313682299972686,0.10487281602156885,0.09982202172744654,0.11606474179934272,0.17447818004000107
50,Wyoming,West,113557.0,0.06973328911838553,0.2874366384006822,0.14652517883367283,0.07378369415888958,0.10239708181344451,0.09119332985930172,0.056421431616845895,0.17250935619877777
