"GEO_ID","NAME","B15010_001E","B15010_001M","B15010_002E","B15010_002M","B15010_003E","B15010_003M","B15010_004E","B15010_004M","B15010_005E","B15010_005M","B15010_006E","B15010_006M","B15010_007E","B15010_007M","B15010_008E","B15010_008M","B15010_009E","B15010_009M","B15010_010E","B15010_010M","B15010_011E","B15010_011M","B15010_012E","B15010_012M","B15010_013E","B15010_013M","B15010_014E","B15010_014M","B15010_015E","B15010_015M","B15010_016E","B15010_016M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Science and Engineering!!Computers, Mathematics and Statistics","Margin of Error!!Total:!!Science and Engineering!!Computers, Mathematics and Statistics","Estimate!!Total:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences","Margin of Error!!Total:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences","Estimate!!Total:!!Science and Engineering!!Physical and Related Sciences","Margin of Error!!Total:!!Science and Engineering!!Physical and Related Sciences","Estimate!!Total:!!Science and Engineering!!Psychology","Margin of Error!!Total:!!Science and Engineering!!Psychology","Estimate!!Total:!!Science and Engineering!!Social Sciences","Margin of Error!!Total:!!Science and Engineering!!Social Sciences","Estimate!!Total:!!Science and Engineering!!Engineering","Margin of Error!!Total:!!Science and Engineering!!Engineering","Estimate!!Total:!!Science and Engineering!!Multidisciplinary Studies","Margin of Error!!Total:!!Science and Engineering!!Multidisciplinary Studies","Estimate!!Total:!!Science and Engineering Related Fields","Margin of Error!!Total:!!Science and Engineering Related Fields","Estimate!!Total:!!Business","Margin of Error!!Total:!!Business","Estimate!!Total:!!Education","Margin of Error!!Total:!!Education","Estimate!!Total:!!Arts, Humanities, and Other!!Literature and Languages","Margin of Error!!Total:!!Arts, Humanities, and Other!!Literature and Languages","Estimate!!Total:!!Arts, Humanities, and Other!!Liberal Arts and History","Margin of Error!!Total:!!Arts, Humanities, and Other!!Liberal Arts and History","Estimate!!Total:!!Arts, Humanities, and Other!!Visual and Performing Arts","Margin of Error!!Total:!!Arts, Humanities, and Other!!Visual and Performing Arts","Estimate!!Total:!!Arts, Humanities, and Other!!Communications","Margin of Error!!Total:!!Arts, Humanities, and Other!!Communications","Estimate!!Total:!!Arts, Humanities, and Other!!Other","Margin of Error!!Total:!!Arts, Humanities, and Other!!Other"
"0400000US22","Louisiana","784275","15489","24955","2677","52393","4134","25341","3852","32562","3412","41994","3430","44293","4291","4469","1045","103021","5440","151884","7718","126033","5806","22028","2533","59525","3795","22823","2368","24031","3031","48923","4600"
"0400000US23","Maine","328999","7324","8894","1091","28883","2820","8495","1414","18136","2108","26063","2068","17180","1869","3047","857","36869","3346","43850","3068","45789","3482","23182","2096","19947","1943","17623","2152","11315","1932","19726","2299"
"0400000US24","Maryland","1710230","18629","117239","5245","119887","5351","58139","4015","85482","5374","176347","5834","128358","4978","13651","1975","155344","6732","317385","9584","151937","6254","80202","3783","81313","4738","64515","4477","63695","4600","96736","5960"
"0400000US25","Massachusetts","2181743","23021","112032","5164","153508","6148","71662","4614","120040","5930","220646","7013","194036","7146","16894","2084","192860","7597","387672","10064","184168","6525","128650","5252","114489","4957","95188","5462","77026","5181","112872","6460"
"0400000US26","Michigan","2070795","20401","76136","3425","123429","4565","61215","3769","87310","4460","119963","5317","212779","7048","13220","1779","231516","5975","438527","9402","274144","7962","72960","4088","80733","4142","64460","3738","77595","4767","136808","5766"
"0400000US27","Minnesota","1433226","13458","65522","3572","107878","4861","38694","2684","72313","3675","104348","4453","98142","4553","9338","1463","138996","4805","283017","9067","194355","6436","59231","3603","55395","3660","57302","3209","61426","3237","87269","3792"
"0400000US28","Mississippi","441751","13418","12446","2182","33943","3700","12018","2110","15196","2019","17486","2712","24170","3000","4538","1618","55479","4498","90107","6008","92391","6391","10597","1816","15766","2162","12532","2233","10574","1549","34508","3411"
"0400000US29","Missouri","1271281","17069","52555","4041","92495","4243","33753","3289","60813","3985","60129","4248","75033","4350","9046","1761","137570","5320","277875","7981","195694","7780","35792","2531","58262","3930","45318","3262","55243","3660","81703","4672"
"0400000US30","Montana","249148","6854","6884","1516","33062","2502","9455","1828","10360","1858","16099","2133","14273","1611","1197","436","26830","2526","39144","2938","41101","2944","8821","1597","11592","1523","8180","1545","6274","1201","15876","2026"
"0400000US31","Nebraska","422587","8468","13928","1750","34367","2809","12511","1614","17065","1850","19041","2079","18280","1744","3312","883","44260","3100","92464","3772","76156","3768","10460","1564","16541","1723","11689","1627","17360","2007","35153","2671"
